"","Gene","baseMean","log2FoldChange","lfcMLE","lfcSE","stat","pvalue","weight","padj","FoldChange"
"250","KLC1",4416.4819204555,2.26792485738925,2.27209951048316,0.0983580236126927,23.0578530768341,1.22690132230568e-117,0.812805797645415,0.0292756813513055,4.81629866201247
"251","HPRT1",757.39987386961,2.62771464504443,2.64009718961894,0.114065177396883,23.0369575098407,1.9877107392793e-117,0.848057361081753,0.0465076476166876,6.1804618242997
"252","KCNB1",6304.77966822291,5.37020795183164,5.35050524042002,0.233190419281377,23.0292821136521,2.37287880281835e-117,0.848057361081753,0.0292756813513055,41.3612520123107
"253","NEFH",4160.20117592885,5.76077298459793,5.7478673868874,0.250218524743476,23.0229675860485,2.74498665141651e-117,0.848057361081753,0.0292756813513055,54.2207432555347
"254","HCN1",2518.09253912266,5.43454756127395,5.41217071837556,0.236135444493348,23.0145354626211,3.33421780850367e-117,0.848057361081753,0.0292756813513055,43.2475818017276
"255","GPR137C",372.776964560283,3.89242389450393,3.91011366320556,0.16917866991704,23.0077698117183,3.89703673693868e-117,0.847542069651867,0.0453715400545096,14.8503383280012
"256","ATP8A2",1206.30961980648,4.96243874145612,4.98275246707227,0.215737543478112,23.0022028685962,4.43055556695722e-117,0.848057361081753,0.0354761929552248,31.1776166517383
"257","CEP126",573.796190755307,2.48998934280718,2.49018965929801,0.108308552604814,22.9897758110795,5.89931265432578e-117,0.847542069651867,0.0419344411992923,5.61773800455035
"258","GABRR1",541.063580640396,5.64748123684192,5.65494191306441,0.245975673510508,22.9595112241888,1.183979481173e-116,0.848057361081753,0.0444130369044762,50.1257925304064
"259","DCDC1",220.980012083634,4.23946764430735,4.26367952126921,0.184748695995015,22.9472128150866,1.57098816780407e-116,0.844960632389803,0.0478909660811112,18.8889112724755
"260","MTCL1",2456.9050177209,3.24151501168369,3.26172544348523,0.141312941411711,22.9385573557599,1.91680910199377e-116,0.848057361081753,0.0293434246098646,9.45786803221338
"261","ARHGAP32",1797.66770630825,2.79037078552026,2.79650288539057,0.121767150568743,22.9156284965785,3.24576240549949e-116,0.809332939322037,0.0371238935543969,6.91807562927083
"262","NEURL1",2152.43641676285,5.75663807017797,5.73671623140671,0.251233415542288,22.9135047889719,3.40793467101811e-116,0.820760162425298,0.0292221910488196,54.0655634386519
"263","PDE6B",9115.63905422498,4.58277997013578,4.55128945782511,0.200172220994377,22.8941855536714,5.30914880040139e-116,0.848057361081753,0.0293434246098646,23.9637198913423
"264","RNF170",774.530364977416,2.25406612480151,2.25757568689138,0.0985151305025104,22.8804054088328,7.2821167171327e-116,0.848057361081753,0.0478739736751932,4.77025412518772
"265","ELFN2",901.352600921831,5.82894525440512,5.97770191025502,0.254778861221446,22.8784492813113,7.61608020797472e-116,0.847542069651867,0.0364626724756386,56.8443578340817
"266","EPB41",3568.75217737389,3.07412768459821,3.07873681752797,0.134420578655831,22.8694721845319,9.35578212597239e-116,0.848057361081753,0.0293434246098646,8.42179456904553
"267","HMGN1",7353.81168132528,2.602633125747,2.60843164170215,0.113840427128566,22.8621166609619,1.10729468714537e-115,0.848057361081753,0.0293434246098646,6.073941972439
"268","TMEM136",1182.18595809829,3.191608282218,3.20981107300836,0.139633406371403,22.8570538036494,1.2434319729082e-115,0.847542069651867,0.0367210625195228,9.13628897038031
"269","CRB1",1437.1374294082,5.82192142470057,5.83241907727973,0.254943814270886,22.8360960290434,2.00893049691112e-115,0.847542069651868,0.0438604888326757,56.5682809553313
"270","PAK5",160.099542907124,5.29202330641096,5.3070916905066,0.231776369391634,22.8324540603576,2.18348689859349e-115,0.848057361081753,0.049237302806796,39.1793974859685
"271","TNIK",932.016853766145,3.42434037016314,3.44777530327383,0.150014423452863,22.8267408649483,2.48830647313417e-115,0.847542069651867,0.0367249755783899,10.7356703307035
"272","MAK",2855.85415899472,5.89859623519845,5.89761749354834,0.258480047459383,22.8203155066556,2.88213732804816e-115,0.809332939322038,0.0292756813513055,59.6560369537904
"273","DPF1",148.982669395166,5.30308807960245,5.44006231323042,0.232384762430395,22.8202917615602,2.88370248498772e-115,0.844960632389803,0.0487230152094203,39.4810397618226
"274","SH3GL2",1503.3894455718,6.11870204012407,6.12803921744675,0.268195066719474,22.8143720724143,3.30159279349081e-115,0.848057361081753,0.0349952067551011,69.4884858622058
"275","CLRN1",145.270275527246,5.88786345116819,5.91050251781444,0.258175262760909,22.8056839691137,4.026752967154e-115,0.848057361081753,0.0494293368374361,59.2138786280786
"276","CCSER1",133.770367882581,3.70078555854311,3.71593600928641,0.162406476219542,22.7871797029841,6.14476316233511e-115,0.848057361081753,0.0497852821650006,13.0031167114461
"277","LAMB1",2802.87207953874,-3.46126315600131,-3.47071412958057,0.151933699945507,-22.7814050289221,7.01060880611147e-115,0.820760162425298,0.0292756813513055,0.0907937527769048
"278","NRG4",138.548706156246,4.83169012641177,4.87371700201408,0.212120394479595,22.7780555390045,7.56756612018108e-115,0.844960632389803,0.0492108310066873,28.4763064381501
"279","SBK1",646.121358317209,3.38821635104993,3.3962618890947,0.14876481767668,22.7756562604322,7.99346599854023e-115,0.848057361081753,0.0479740846383924,10.4701945969658
"280","MAP2",7031.15556582511,4.84873810805012,4.86193594121757,0.213220285256134,22.7405103704158,1.78145576784924e-114,0.848057361081753,0.0301442638525016,28.8148001392732
"281","INPP5F",1196.60203205051,2.03237785715635,2.03545508312186,0.0895706566971881,22.6902194546504,5.59578055971881e-114,0.848057361081753,0.0377567380604635,4.09078540229532
"282","MAPK8IP2",1295.48978989978,4.58874452473841,4.58521234621342,0.20224048344683,22.6895448751477,5.68225742472285e-114,0.848057361081753,0.0356733882072772,24.0629985220365
"283","WIPF1",384.822503678422,-2.91164512424618,-2.93269801269501,0.128340370121809,-22.6868998545253,6.03439461001038e-114,0.820760162425298,0.0478739736751932,0.132894644849312
"284","FUT3",1436.32204470158,6.20199370150049,6.17873103360603,0.273466017961353,22.679211653921,7.18650566779243e-114,0.812805797645415,0.0453715400545096,73.618359771646
"285","VDAC1",6687.95709099706,2.13164790766689,2.13713169634557,0.094004248893198,22.676080419394,7.71642849597233e-114,0.847542069651867,0.0304084942584078,4.38217745694478
"286","DNAH2",1179.27225166164,5.07663263535724,5.10286223932575,0.224330187814363,22.630180471111,2.18706931913648e-113,0.848057361081753,0.0383925595375154,33.7457201172472
"287","COL8A1",3335.96894630275,-5.01280974534923,-5.0126190010808,0.221606863239526,-22.6202820258824,2.73724749746088e-113,0.847542069651867,0.0309573746678307,0.0309737582307822
"288","GATS",763.602538455472,2.33955972829145,2.3418133098173,0.103469077104852,22.6111974104168,3.36291544632694e-113,0.820760162425298,0.0432669530299914,5.06148151219711
"289","KDM5B",3102.74140309258,2.76403343988773,2.77588818710665,0.122243733063429,22.6108395957897,3.39028709549359e-113,0.812805797645415,0.0317162943373426,6.79292742141086
"290","ZMYND19",8091.92369074134,4.37562237086199,4.40883446712018,0.193611702625813,22.599989109742,4.33478700090033e-113,0.812805797645415,0.0317162943373426,20.7583859989084
"291","GRIA4",856.444401057565,5.24984279316379,5.25237440474097,0.232368848306009,22.5927134012827,5.11101326522948e-113,0.809332939322038,0.0419344411992923,38.0504811893064
"292","SRGAP3",1283.75102518895,2.81624884362161,2.80741626101058,0.124697392206875,22.5846651143226,6.13219550073957e-113,0.820760162425298,0.0356859933483322,7.04328686686755
"293","SYN1",1298.21739822233,4.10894094086944,4.07756161671459,0.182230117446369,22.5480891877201,1.40209621812217e-112,0.820760162425298,0.0357774663291056,17.254980531212
"294","MOAP1",1807.00686926228,2.25530350557238,2.2582360772817,0.100118926069855,22.5262454772918,2.29613947535168e-112,0.820760162425298,0.0360320044719057,4.7743472651679
"295","FAM234B",880.308415798115,2.49868741893334,2.50153874443116,0.110943617821274,22.5221375325855,2.51919403811666e-112,0.847542069651867,0.0399698222807964,5.65170991691643
"296","KCTD7",1411.68261551846,2.45672777942064,2.46216340823663,0.10911423906105,22.5151895899315,2.94675552695275e-112,0.847542069651868,0.0461413402887648,5.48970178134807
"297","SCRT2",395.600152749909,6.42498048160671,6.3825626588039,0.285655349798501,22.4920712534837,4.96282205344143e-112,0.820760162425298,0.0492108310066873,85.9234777010948
"298","DPY19L2",822.797407251884,3.24701033807912,3.26100111087009,0.144476792576951,22.474269259194,7.41131954478612e-112,0.809332939322038,0.0420118441880084,9.49396241294306
"299","SLC1A2",1586.80058102859,5.62505097838206,5.61355192188403,0.250399726854446,22.4642856006462,9.27921242532863e-112,0.848057361081753,0.0371238935543969,49.3524902782397
"300","CDKL5",697.130077544853,2.73294292517494,2.73669000666489,0.121699736202511,22.4564408309584,1.1070910053236e-111,0.820760162425298,0.0438604888326757,6.64810388021995
"301","SEZ6",1086.55680833593,5.54651192059432,5.55182343341403,0.247001067852039,22.455416767335,1.13289644993751e-111,0.820760162425298,0.0438604888326757,46.7376055987728
"302","SNCB",4770.7051929502,6.43829882091757,6.37771455417194,0.286966487181621,22.4357167422229,1.76443414621016e-111,0.809332939322038,0.0313628324592328,86.7203588160245
"303","DOC2B",1804.86753752625,4.32756163300961,4.31238638018684,0.192961931188445,22.4270228140666,2.14520005287911e-111,0.847542069651868,0.0463026530915412,20.0782501001664
"304","ABCG4",2153.9359430722,5.62723590983596,5.60824956632107,0.25112824527095,22.4078175824649,3.30229570148281e-111,0.812805797645415,0.0330909318428287,49.427290219339
"305","FAIM",727.085433219587,3.74917578094998,3.77210602124283,0.167447430286829,22.3901661227516,4.90756421702575e-111,0.847542069651867,0.0438604888326757,13.4466583046062
"306","CD302",562.506939076217,-4.85138296907012,-4.94602312197819,0.216764760402993,-22.3808655984985,6.04594980711359e-111,0.848057361081753,0.0479740846383924,0.0346408233492535
"307","SMPD3",762.943902145402,3.99985489669738,4.027245230728,0.178846170733396,22.3647779557994,8.67140458929242e-111,0.847542069651867,0.0438604888326757,15.998390833803
"308","CAMKV",400.163421640125,6.22816775364054,6.23068792800754,0.278528954631465,22.3609346535671,9.45127052300591e-111,0.812805797645415,0.0492108310066873,74.9661680045381
"309","VASH1",3608.87293781756,3.36157420578335,3.36794182448585,0.150421501434472,22.3476974616408,1.27132830781669e-110,0.809332939322038,0.0317162943373426,10.2786166410611
"310","TNFRSF1A",1115.01987633987,-3.29868717090598,-3.31902112476738,0.147679783453867,-22.3367551993766,1.62421493117302e-110,0.848057361081753,0.0419344411992923,0.101623983658683
"311","TRIM37",1168.85650523743,2.47024558176944,2.48080827173962,0.110742611046424,22.3061887238138,3.21773353386506e-110,0.809332939322038,0.0404719024028545,5.54138106993894
"312","CPLX2",2289.77037252211,6.31595180527528,6.1922802505207,0.283196886252371,22.3023349192011,3.50715652707215e-110,0.820760162425298,0.0317814576171276,79.6692895847246
"313","DGKD",1144.14346516557,2.55089234632499,2.5571910548417,0.114384704804185,22.3009916464955,3.61402753325861e-110,0.847542069651867,0.0419344411992923,5.85996621238161
"314","TFAP2B",699.169318044763,5.9963500233347,5.93165533604285,0.268928884203347,22.2971587492277,3.9371774229871e-110,0.820760162425298,0.0454813735746985,63.8382865052676
"315","WDR62",1109.28147382549,4.6956120945728,4.76901148698859,0.210859771349012,22.2688854518422,7.40194167260202e-110,0.820760162425298,0.0453715400545096,25.9131428088508
"316","SLC24A4",1127.90715138043,4.76633536795161,4.76941773855857,0.214095143751984,22.2626972495607,8.49777520774419e-110,0.809332939322038,0.0409277584043773,27.2150987909734
"317","GLMP",478.249023059573,-2.63389178679561,-2.64186722982236,0.118312214466561,-22.2622135733926,8.58995800695936e-110,0.848057361081753,0.049237302806796,0.161108912762801
"318","EFR3A",3088.95350106499,2.75338034953972,2.76351177118274,0.123690870093759,22.2601744773291,8.98968485830702e-110,0.847542069651867,0.0333427136534288,6.74295210154049
"319","TRPV1",595.266795422529,3.04579644083819,3.05311351001378,0.136986447638117,22.2342902772718,1.60079973498702e-109,0.847542069651867,0.0468306644523381,8.2580230238531
"320","CA10",824.477602005252,6.28239271118567,6.25187774082679,0.282555289049654,22.2342067363731,1.60378193603133e-109,0.809332939322038,0.0438604888326757,77.8374591143172
"321","SCRT1",1365.87023083727,6.61278724744622,6.5779576429557,0.29751225018381,22.2269410532194,1.8855326987094e-109,0.820760162425298,0.038676367652204,97.8694880210919
"322","SARM1",1111.91684163772,2.88898518727774,2.90595553213584,0.130103604312752,22.2052663532134,3.05478581042876e-109,0.848057361081753,0.0422503824186881,7.40749212416817
"323","PURB",1691.32945394433,1.75865989299105,1.76127891544106,0.0792111608184395,22.2021729617382,3.27243067739975e-109,0.812805797645415,0.0479740846383924,3.38383657247061
"324","NAP1L3",850.464075141861,3.07730474313943,3.06063776059746,0.138712565838995,22.1847582771362,4.82015825799216e-109,0.812805797645415,0.0453642028687103,8.44036122135561
"325","KIF21A",2468.20980571335,2.96591104234731,2.97704948031976,0.13376338762812,22.1728164555232,6.28520306231319e-109,0.809332939322038,0.0330909318428287,7.81318644993812
"326","OSBP2",4395.37022017406,4.50367482921092,4.53389981272193,0.203206793141056,22.1630131532301,7.81431546954201e-109,0.809332939322038,0.0330909318428287,22.685126966268
"327","WNK2",3745.99354907399,3.21760221016122,3.18386384574625,0.14519076442943,22.1612044182407,8.13457938212802e-109,0.820760162425298,0.0330909318428287,9.30239505814112
"328","CDS2",2966.73245937175,2.00421889502227,2.00721273915537,0.0905085291100918,22.143978194413,1.1923413762973e-108,0.847542069651867,0.0340318553047731,4.01171438068165
"329","SNPH",1355.22672697349,4.31896872797038,4.36019787326205,0.19513387182795,22.1333625347138,1.50894854199805e-108,0.809332939322037,0.0438604888326757,19.9590165119155
"330","WDR7",939.56840486756,1.96611665361686,1.9685922460967,0.0890543194555375,22.0777236369595,5.17504429970223e-108,0.809332939322038,0.0419344411992923,3.90715002790453
"331","SEMA7A",2369.96420514457,4.59983432054264,4.67621745042016,0.208451382135588,22.0667009900211,6.60376184891804e-108,0.812805797645415,0.0349952067551011,24.2486801797974
"332","ATP2B1",1813.8622807225,2.81009630283228,2.8228130922814,0.127350810893853,22.0657904186766,6.73806945140523e-108,0.820760162425298,0.0405772799975977,7.01331390789074
"333","GPR12",486.818967642538,6.27920021557883,6.34780436903338,0.284572949339754,22.0653446863006,6.80480451096853e-108,0.847542069651867,0.0478739736751932,77.6654054247844
"334","TOX3",499.911912093385,3.93222887871017,3.89139188484828,0.178214814606487,22.0645454610092,6.92612050518459e-108,0.847542069651867,0.0478739736751932,15.2657744803768
"335","WDR47",880.501479585524,2.89071355444381,2.90345051344329,0.131033571826093,22.0608620688471,7.51372769617196e-108,0.812805797645415,0.0442059825578765,7.41637171262564
"336","TLN1",5072.83714511992,-2.31779222916576,-2.32182699829886,0.105077992844175,-22.0578273949611,8.03503723523303e-108,0.820760162425298,0.0336140921736448,0.200574175352108
"337","HMP19",1073.31556493056,5.22628442260243,5.16758239468021,0.237242958533289,22.0292499086715,1.51053907927615e-107,0.848057361081753,0.0438604888326757,37.4341845491214
"338","IMPDH1",4424.11020202774,3.70208312909737,3.71826497756186,0.168282890831146,21.9991652794462,2.93326719297525e-107,0.820760162425298,0.0340296839816505,13.0148170713719
"339","TMEM237",2427.24773056003,3.40343913137387,3.42008454879341,0.154830649134854,21.9816887056358,4.31124052415006e-107,0.847542069651867,0.0349952067551011,10.5812571023477
"340","KIFAP3",1423.752934118,2.0545041206629,2.0571841396523,0.0935068780156351,21.9716898292698,5.37318583448023e-107,0.847542069651868,0.0493878774936515,4.15400836297564
"341","SDCBP",2723.34817734353,-2.99982709351007,-3.01750867920333,0.136752308739086,-21.9362080331201,1.17281987644121e-106,0.812805797645415,0.0356733882072772,0.125014982103532
"342","MPZL1",1084.67711277816,-2.20916785560933,-2.21727101268682,0.10078014078261,-21.9206664969307,1.65023618892879e-106,0.848057361081753,0.0442059825578765,0.216259009740261
