"","Gene","baseMean","log2FoldChange","lfcMLE","lfcSE","stat","pvalue","weight","padj","FoldChange"
"14126","SLC2A8",217.612783446391,-0.328702746845834,-0.329170779418754,0.119176167104035,-2.75812484016952,0.0058133991659815,0.837916782220422,1,0.796252141817653
"14127","ACER3",430.353842516311,0.193790619401854,0.193886571985408,0.0702679966390517,2.7578788164021,0.00581777610562396,0.837916782220422,1,1.14376496475107
"14128","MORC2",636.934160770134,-0.214342703914761,-0.214472383360446,0.0777480630075605,-2.7568880255437,0.00583543307769206,0.81783428978818,1,0.861938772096112
"14129","MOSPD3",223.831414101866,-0.398603439266745,-0.39945445244501,0.14461150541958,-2.75637431551677,0.00584460695453093,0.837916782220422,1,0.758592262044925
"14130","FUBP1",1510.5343985155,-0.27179298459424,-0.272054568908118,0.0986077642898048,-2.75630409584634,0.00584586195283053,0.778712453329768,0.88408476730965,0.828289505845453
"14131","S100A4",202.706425677049,0.744680507286294,0.750147760828261,0.270330099625527,2.75470807105039,0.00587445243220319,1.02065792345741,1,1.67560315675412
"14132","C22orf15",8.91203894303636,0.537014444054251,0.539184634900858,0.194948001217817,2.7546547833247,0.00587540917544615,1.10110817780366,1,1.45096673463071
"14133","SMAD5",987.608933996838,0.235709414860863,0.235880985122203,0.0855723543794773,2.75450426215447,0.00587811243481969,0.796074379651176,0.890701553012996,1.17748559859638
"14134","ZNF90",49.9448374564684,0.543577142255783,0.545710072385751,0.197393647766652,2.75377221306721,0.00589127553730497,1.10110817780366,1,1.45758209502135
"14135","NSD1",1429.73246187037,-0.267609508780409,-0.267862372370521,0.0971850483506391,-2.75360781645019,0.00589423523227024,0.750378670365125,0.8046035433453,0.830694836081594
"14136","LGALS9C",0.840822439270838,1.26598771844786,1.29564873183702,0.459906666252698,2.75270573649884,0.00591049958732036,1.60568203568684,1,2.40491802482667
"14137","C5orf58",1.76032033715871,1.27389891046969,1.30390989238339,0.462801086540424,2.75258409610155,0.00591269583600756,1.59511061966968,1,2.41814190671328
"14138","SHFM1",812.342711133165,-0.305274751930174,-0.305649980081337,0.110921757550804,-2.75216295405663,0.005920305346616,0.77936433542838,0.955841399354771,0.809288078195587
"14139","COL6A1",2159.9654853113,0.462960353517069,0.464274033658567,0.168233894260728,2.75188513914786,0.00592532994530615,0.778712453329768,0.714954074935065,1.37836727375381
"14140","THAP4",590.343695339055,-0.367953460020948,-0.368615060625993,0.133717116216315,-2.75173044732515,0.00592812938835329,0.81783428978818,0.889684248467742,0.774880927482649
"14141","DNAJC11",849.365478762537,-0.250532163282714,-0.25074031457642,0.0910965084466913,-2.75018403618974,0.00595618022777738,0.837916782220421,1,0.840586293113413
"14142","ABHD13",331.648515901969,-0.226557735547824,-0.22671096625324,0.0823859190823025,-2.74995700808406,0.0059603084156811,0.778712453329768,0.928743970508397,0.854671704070321
"14143","FASLG",2.08823478917635,0.763755787214277,0.770315528518788,0.277754794868057,2.74974834395599,0.00596410495408759,1.60568203568684,1,1.69790505500235
"14144","TRAV17",0.297021977070379,2.40260028751557,2.67458196343509,0.874313094166744,2.74798616599165,0.00599625390135154,1.81783428978818,1,5.28755325031863
"14145","CCDC59",278.723756582958,-0.277062235220484,-0.277343977214077,0.100867554398746,-2.74679243362254,0.00601812082536594,0.750378670364962,1,0.82526980711751
"14146","CNTN3",160.552322312861,0.695489098388334,0.69999962147761,0.253231929733407,2.74645104636101,0.00602438759295097,0.83501561279762,1,1.61943335575393
"14147","NDUFC2-KCTD14",4.74945570660507,1.18619594800663,1.21139519672293,0.431925951518717,2.74629469203179,0.00602725971589617,1.0984515579147,1,2.27551949765493
"14148","TAL2",5.69317725468995,-0.74793725037413,-0.753856629976344,0.272484221067632,-2.74488279520776,0.00605325122106784,1.10135652976141,1,0.59545432324204
"14149","ATP5E",2460.69828224974,-0.51827808124301,-0.520131110916521,0.188847172986073,-2.7444312406055,0.00606158514104236,0.77936433542838,0.72739896445908,0.698204673453362
"14150","GTF2B",372.463589530991,-0.179583163973964,-0.179659960909009,0.0654775080566385,-2.74266949528109,0.00609419893867149,0.817834289788181,0.89906156177036,0.882958071381646
"14151","RP11-571M6.15",3.27852274389866,-0.725166123525189,-0.730790592499833,0.264424059528907,-2.74243623979275,0.00609852884070125,1.53485998987272,1,0.604927384388519
"14152","CEBPD",1440.47887324954,0.877214292991455,0.886372663029063,0.31989836568287,2.74216559724809,0.0061035562280239,0.778712453329768,0.884690684490624,1.83682514006939
"14153","CEP57L1",140.784162339922,-0.267345312053629,-0.267600126267486,0.0975083950049355,-2.74176712723142,0.0061109648998282,1.02167933989619,1,0.83084697284427
"14154","CHMP2B",601.282609302983,0.198545536346332,0.198650091393717,0.0724191047619493,2.74161820971104,0.00611373577137178,0.750378670365044,0.926869413420613,1.14754086983381
"14155","RMI1",220.288950074784,0.315961785368387,0.316380963653693,0.115336702336983,2.73947302954119,0.00615377635667024,0.778712453329768,1,1.24484126113681
"14156","SH3BP5L",556.758816509198,-0.340130450450448,-0.340655615869892,0.124180121834334,-2.73900883189831,0.00616247179608925,0.750378670365044,0.92698234984188,0.789969878481577
"14157","TUSC1",138.220093693952,-0.914850591960358,-0.925334424843431,0.334193247810039,-2.73748975467144,0.00619100484476029,0.83501561279762,1,0.530398796873598
"14158","MRPL30",509.530113180811,-0.158220815924919,-0.158273667955623,0.057815624922724,-2.73664456859882,0.00620693155078325,0.750378670365044,0.927117244585173,0.896129529336224
"14159","HSP90AB1",19206.2407778154,0.268065468854957,0.268320262041294,0.0979794150990614,2.73593661060266,0.00622030070931307,0.796074379651176,0.7312308979616,1.20419202568646
"14160","PKN1",2076.18813346922,-0.335658291351544,-0.336161387116626,0.122688520200365,-2.73585736304728,0.00622179884139463,0.750378670365042,0.734729425205595,0.792422477438818
"14161","RP13-582O9.6",25.9325357349043,-0.556758902221769,-0.559120410299884,0.203539161805235,-2.73538957949787,0.00623064865596108,1.0984515579147,1,0.679827721717088
"14162","CCT2",1865.99284805458,0.404965552574997,0.405850621175375,0.148088201983479,2.73462400887396,0.00624515664103875,0.778712453329768,0.885038375513419,1.32405729532249
"14163","ASTE1",112.379679292434,-0.242492877484003,-0.242681251991632,0.088681593174778,-2.73442175318261,0.00624899457296514,0.817834289788181,1,0.84528345824385
"14164","SCRN2",514.679082978653,-0.411133107845098,-0.412065014554674,0.150435073234412,-2.73296046597099,0.00627678658548731,0.81783428978818,0.890942588164228,0.752032487473687
"14165","CTC-490E21.12",1.12697483800887,-0.916476244581569,-0.929193888645747,0.335382256140666,-2.73263187840558,0.0062830512471396,1.59596802757468,1,0.529801471342622
"14166","TAF7L",8.75719609653443,-0.627598356418525,-0.631208371028937,0.229715741547074,-2.73206508266181,0.00629387067747614,1.10025545663552,1,0.647252996175686
"14167","ZBTB2",200.649712582533,0.35717447339379,0.357784248233953,0.130750900967841,2.73171711055084,0.00630052134037533,0.837916782220422,1,1.28091476033885
